"CNPJ","NOME_DA_INSTITUIÇÃO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICÍPIO","UF","DDD","FONE","TIPO_COOPERATIVA","CLASSE_COOPER","ENDEREÇO_ELETRÔNICO","SÍTIO_NA_INTERNET","ano","mes","tipo"
"2846074.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FUNDACAO EDUCACIONAL DE BARRETOS-COOPERFEB","AV. PROFESSOR ROBERTO FRADE MONTE, 389",NA,"RIOS","14783226.000000","BARRETOS","SP","17.000000","33226411.000000","Crédito Mútuo","Singular","COOPER@FEB.BR","WWW.FEB.BR","2007","10","cooperativas"
"2850075.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES EM CONSELHOS DE FISCALIZACAO PROFISSIONAL NO MUNICIPIO RIO DE JANEIRO LTDA.","RUA ÁLVARO ALVIM, 33/37","SALA 820","CENTRO","20030010.000000","RIO DE JANEIRO","RJ","21.000000","22153689.000000","Crédito Mútuo","Singular","COOPFISPRO.LTDA@IG.COM.BR",NA,"2007","10","cooperativas"
"2853045.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA SAUDE DE JOACABA","AV. XV DE NOVEMBRO, 500 - SALA 02 - 2. ANDAR",NA,"CENTRO","89600000.000000","JOACABA","SC","49.000000","5224346.000000","Crédito Mútuo","Singular","COLIBERTENEZIO@BOL.COM.BR",NA,"2007","10","cooperativas"
"2861211.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS PROFISSIONAIS DA CONTABILIDADE DE CUIABA","RUA COMANDANTE COSTA, Nº 1.144","SALA 01","CENTRO","78020400.000000","CUIABA","MT","65.000000","36237272.000000","Crédito Mútuo","Singular","COOPERCONMT@TERRA.COM.BR",NA,"2007","10","cooperativas"
"2869663.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DE INSTITUICOES FINANCEIRAS PUBLICAS NO ESTADO DO ESPIRITO SANTO - CREDBRASIL-ES","AV. DESEMBARGADOR SANTOS NEVES, 389- SALAS 506/507","ED. ESCORT","PRAIA DO CANTO","29055721.000000","VITORIA","ES","27.000000","33156763.000000","Crédito Mútuo","Singular","CREDBRASIL@AFABBES.ORG.BR",NA,"2007","10","cooperativas"
"2876918.000000","COOPERATIVA DE CRÉDITO RURAL GANDU","PRACA SIMOES FILHO, 55 - SALAS 101/102","SHOPPING GAN","CENTRO","45450000.000000","GANDU","BA","73.000000","32541965.000000","Crédito Rural","Singular","CREDIGAN@GANDUNET.COM.BR",NA,"2007","10","cooperativas"
"2882258.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE  AUTOPEÇAS E SERVIÇOS DE VITÓRIA DA CONQUISTA - SICOOB COOPESE","AV. ITABUNA, 2730",NA,"BRASIL","45025090.000000","VITORIA DA CONQUISTA","BA","77.000000","21019999.000000","Crédito Mútuo","Singular","COOPESE@CLUBENET.COM.BR",NA,"2007","10","cooperativas"
"2883398.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DO SETOR ODONTOLOGICO-SICOOB/SC-CREDIODONTO","SEBASTIÃO CRUZ, 38",NA,"JARDIM BLUMENAU","89010340.000000","BLUMENAU","SC","47.000000","32221003.000000","Crédito Mútuo","Singular","CREDIODONTOBNU@TERRA.COM.BR",NA,"2007","10","cooperativas"
"2892637.000000","COOPERATIVA DE CRÉDITO RURAL DE JUAZEIRO","PRACA RIO BRANCO, 23","CASA","CENTRO","48903400.000000","JUAZEIRO","BA","74.000000","36117520.000000","Crédito Rural","Singular","CREDIJU@TERRA.COM.BR",NA,"2007","10","cooperativas"
"2894268.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO","AV. FERNANDO CORREA DA COSTA S/Nº","CENTRO CULTURAL - UFMT","COXIPÓ","78060900.000000","CUIABA","MT","65.000000","36158299.000000","Crédito Mútuo","Singular","UFCRED@TERRA.COM.BR","UFCRED.COOP.BR","2007","10","cooperativas"
"2895102.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS","SRTVS Q.701 CONJ E BL.4/2,ED.PALACIO DO RADIO  II","SALA 202","ASA SUL","70430902.000000","BRASILIA","DF","61.000000","33221462.000000","Crédito Mútuo","Singular","CREDIBAMA@YAHOO.COM.BR","HTTP://WWW.CREDIBAMA.COM.BR","2007","10","cooperativas"
"2899661.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES E MAGISTRADOS DO JUDICIÁRIO FEDERAL DO ESTADO DE SÃO PAULO - COOPERJUSP","AV FRANCISCO GLICERIO, 1.046 - SALAS 34 E 35","3 ANDAR","CENTRO","13012902.000000","CAMPINAS","SP","19.000000","35794061.000000","Crédito Mútuo","Singular","COOPERJUSP@TERRA.COM.BR","WWW.COOPERJUSP.COM.BR","2007","10","cooperativas"
"2902475.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PANIFICADORES DE  NATAL - CREDIPAN","AV. AMINTAS BARROS, 1854",NA,"BOM PASTOR","59062250.000000","NATAL","RN","84.000000","32312180.000000","Crédito Mútuo","Singular","ASSESSORIA@SINDIPAN-RN.COM.BR",NA,"2007","10","cooperativas"
"2904125.000000","COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA. DE JACUTINGA - CRESOL JACUTINGA","AV. LUIZ PESSETTI, 180",NA,NA,"99730000.000000","JACUTINGA","RS","54.000000","3681110.000000","Crédito Rural","Singular","CRESOLJACUTINGA@TOLRS.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"2904138.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CENTENARIO - CRESOL CENTENARIO","RUA SANTA CRUZ,370",NA,NA,"99835000.000000","AUREA","RS","54.000000","5271196.000000","Crédito Rural","Singular","CENTENARIO@CRESOL.COM.BR",NA,"2007","10","cooperativas"
"2904362.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS  PROFISSIONAIS DE SAÚDE DO EXTREMO SUL DA BAHIA - UNICRED EXTREMO SUL DA  BAHIA","RUA PAULINO MENDES LIMA, 53","TÉRREO","CENTRO","45820440.000000","EUNAPOLIS","BA","73.000000","32816333.000000","Crédito Mútuo","Singular","EUNAPOLIS@UNICREDEXTREMOSUL.COM.BR","WWW.UNICREDMG.COM.BR","2007","10","cooperativas"
"2909173.000000","COOPERATIVA DE CRÉDITO RURAL PÉ DE SERRA LTDA. - SICOOB PÉ DE SERRA","PRACA VITOR CARNEIRO, 50",NA,"CENTRO","44655000.000000","PE DE SERRA","BA","75.000000","36602155.000000","Crédito Rural","Singular","COOPPEDESERRA@UOL.COM.BR",NA,"2007","10","cooperativas"
"2910387.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO COLEGIO PEDRO II","CAMPO DE SAO CRISTOVAO,73,UND.III,3 AND,SL.3-C",NA,"SAO CRISTOVAO","20931000.000000","RIO DE JANEIRO","RJ","21.000000","25805245.000000","Crédito Mútuo","Singular","COOPCP2@GMAIL.COM","WWW.COOPCP2.COM.BR","2007","10","cooperativas"
"2910987.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ERECHIM - CRESOL ERECHIM","RUA ARATIBA, 318",NA,"CENTRO","99700000.000000","ERECHIM","RS","54.000000","5225655.000000","Crédito Rural","Singular","CRESOLER@TERRA.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"2923389.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DE SAÚDE DE NÍVEL SUPERIOR DE ARACAJU LTDA.","RUA DUQUE DE CAXIAS, 469","CASA","SAO JOSE","49015320.000000","ARACAJU","SE","79.000000","21067191.000000","Crédito Mútuo","Singular","UNICREDAJU@UNICREDAJU.COM.BR",NA,"2007","10","cooperativas"
"2924977.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED","RUA ITUPAVA, Nº 157",NA,"ALTO DA XV","80060250.000000","CURITIBA","PR","41.000000","30274433.000000","Crédito Mútuo","Singular","MEDICRED@MEDICRED.ORG.BR",NA,"2007","10","cooperativas"
"2931166.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO PROGRESSO LTDA - PROCRED","AVENIDA CONDESSA DO RIO NOVO, 881 (PARTE)",NA,"CENTRO","25803000.000000","TRES RIOS","RJ","24.000000","22515098.000000","Crédito Mútuo","Singular","PROCRED@VIACAOPROGRESSO.COM.BR",NA,"2007","10","cooperativas"
"2931668.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE CAMPOS-COOCEFETCAM","RUA DOUTOR SIQUEIRA, 273","PARTE","PARQUE DOM BOSCO","28030130.000000","CAMPOS DOS GOYTACAZES","RJ","22.000000","27338380.000000","Crédito Mútuo","Singular","COOCEFETCAM@COOCEFETCAM.COM.BR","WWW.COOCEFETCAM.COM.BR","2007","10","cooperativas"
"2934201.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SAO JORGE D'OESTE - CRESOL SAO JORGE D'OESTE","AV PREFEITO ADELARTE DEBORTOLI, 707",NA,"CENTRO","85575000.000000","SAO JORGE D'OESTE","PR","46.000000","35341492.000000","Crédito Rural","Singular","SAOJORGE@CRESOL.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"2935307.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS, DE CAPITALIZAÇÃO E DE PREVIDÊNCIA PRIVADA DA MICRO REGIÃO DE GOIÂNIA","RUA C -139, QUADRA 337, LOTE 02","NR. 1087","JARDIM AMERICA","74275070.000000","GOIANIA","GO","62.000000","32750200.000000","Crédito Mútuo","Singular","CREDICOR@CREDICOR.COM.BR","WWW.CREDICOR.COM.BR","2007","10","cooperativas"
"2939044.000000","COOPERATIVA DE CRÉDITO RURAL DE JACARACI E MUNICÍPIOS DO VALE DO GAVIÃO, VALE DO RIO DO ANTÔNIO E ALTO RIO PARDO","PRAÇA MUNICIPAL, 46",NA,"CENTRO","46310000.000000","JACARACI","BA","77.000000","34662150.000000","Crédito Rural","Singular","CREDIJAM@UAIVIP.COM.BR",NA,"2007","10","cooperativas"
"2961072.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MANGUEIRINHA - CRESOL MANGUEIRINHA","RUA SALDANHA MARINHO, 620","SALA COMERCIAL","CENTRO","85540000.000000","MANGUEIRINHA","PR","46.000000","32431566.000000","Crédito Rural","Singular","MANGUEIRINHA@CRESOL.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"2966385.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DOS ORGAOS DO MINISTERIO DA SAUDE NO ESTADO DO RIO DE JANEIRO - CREDISAU","AV FRANKLIN ROOSEVELT, 137, 9º ANDAR",NA,"CENTRO","20021120.000000","RIO DE JANEIRO","RJ","21.000000","25332124.000000","Crédito Mútuo","Singular","CREDISAU@UCPSB.ORG.BR",NA,"2007","10","cooperativas"
"2996857.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS CORRETORES DE SEGUROS DO ESPIRITO SANTO-CREDICORES","AVENIDA NOSSA SENHORA DA PENHA, 595- 2 PISO LJ 61",NA,"SANTA LUCIA","29055131.000000","VITORIA","ES","27.000000","33155027.000000","Crédito Mútuo","Singular","CREDICORES@TERRA.COM.BR",NA,"2007","10","cooperativas"
"2999687.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO  DOS CORRETORES DE SEGUROS DE PORTO ALEGRE","PRACA OSVALDO CRUZ, 15 SALA 1614",NA,"CENTRO","90030160.000000","PORTO ALEGRE","RS","51.000000","32240688.000000","Crédito Mútuo","Singular","LEANDRO@CREDICOR-RS.COM.BR",NA,"2007","10","cooperativas"
"3000142.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL","AVENIDA IPIRANGA, 1365",NA,"AZENHA","90160093.000000","PORTO ALEGRE","RS","51.000000","32335452.000000","Crédito Mútuo","Singular","SICREDIPOL@TERRA.COM.BR",NA,"2007","10","cooperativas"
"3001648.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE DA REGIÃO DE SÃO JOÃO DA BOA VIISTA","RUA CEL ERNESTO DE OLIVEIRA, 735",NA,"VILA CONRADO","13870000.000000","SAO JOAO DA BOA VISTA","SP","19.000000","6314744.000000","Crédito Mútuo","Singular","AJMINGHINI@UOL.COM.BR",NA,"2007","10","cooperativas"
"3002199.000000","COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DO MINISTÉRIO DA FAZENDA - COOPERMINF","RUA BRIGADEIRO TOBIAS,  577","4º  ANDAR - SALA 407/408/409","LUZ","1032903.000000","SAO PAULO","SP","11.000000","32272938.000000","Crédito Mútuo","Singular","COOPERMINF@UOL.COM.BR",NA,"2007","10","cooperativas"
"3011222.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICIPIO DO RIO DE JANEIRO LTDA.","RUA DOS ANDRADAS","96 SALA 703","CENTRO","20051000.000000","RIO DE JANEIRO","RJ","21.000000","25184167.000000","Crédito Mútuo","Singular","COOPENSINO@IG.COM.BR",NA,"2007","10","cooperativas"
"3013889.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE LINDOESTE - CRESOL LINDOESTE","AVENIDA SOUZA NAVES, N 893",NA,"CENTRO","85826000.000000","LINDOESTE","PR","45.000000","32371201.000000","Crédito Rural","Singular","LINDOESTE@CRESOL.COM.BR",NA,"2007","10","cooperativas"
"3014407.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE NOVA PRATA DO IGUACU - CRESOL NOVA PRATA DO IGUACU","AV. IGUAÇU 789",NA,"CENTRO","85685000.000000","NOVA PRATA DO IGUACU","PR","46.000000","35451056.000000","Crédito Rural","Singular","NOVAPRATA@CRESOL.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"3015152.000000","COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SAO VALENTIM-CRESOL SAO VALENTIM","AV.CASTELO BRANCO,844",NA,NA,"99640000.000000","SAO VALENTIM","RS","54.000000","3731331.000000","Crédito Rural","Singular","CRESOLSV@ST.COM.BR",NA,"2007","10","cooperativas"
"3020122.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE BELO HORIZONTE, REGIÃO METROPOLITANA E CIDADES POLO LTDA.","AV. JOAO PINHEIRO, 467",NA,"FUNCIONARIOS","30130180.000000","BELO HORIZONTE","MG","31.000000","32491861.000000","Crédito Mútuo","Singular","COOPERCREDITO@CDLNET.COM.BR",NA,"2007","10","cooperativas"
"3032915.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS ESTADUAIS DO PODER EXECUTIVO DO ESTADO DE MATO GROSSO - COOPERFAZ","RUA MARECHAL FLORIANO PEIXOTO, 157",NA,"CENTRO","78005210.000000","CUIABA","MT","65.000000","33210258.000000","Crédito Mútuo","Singular","COOPERFAZ@TERRA.COM.BR",NA,"2007","10","cooperativas"
"3033469.000000","COOPERATIVA DE CRÉDITO RURAL DO PLANALTO SUL - SICOOB/SC - CREDISSERRANA","AV: DOM PEDRO II, 120",NA,"CORAL","88509000.000000","LAGES","SC","49.000000","32254231.000000","Crédito Rural","Singular","CREDISSERRANA@ISCC.COM.BR",NA,"2007","10","cooperativas"
"3042597.000000","COOPERATIVA DE CREDITO RURAL DE CAMPO GRANDE E REGIAO","RUA 13 DE MAIO, 3669","CENTRO","VILA ANFE","79002355.000000","CAMPO GRANDE","MS","67.000000","33127611.000000","Crédito Rural","Singular","EVANDRO_FREO@SICREDI.COM.BR","WWW.SICREDI.COM.BR","2007","10","cooperativas"
"3046391.000000","COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MUTUO DAS UNICRED'S DOS ESTADOS DO PARANÁ E MATO GROSSO DO SUL","RUA SOUZA NAVES, 1283","SALA 101","VILA IPIRANGA","86010160.000000","LONDRINA","PR","43.000000","33262938.000000","Crédito Mútuo","Central","CENTRAL@UNICREDCENTRALPR-MS.COM.BR",NA,"2007","10","cooperativas"
"3047549.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DO SUDOESTE E SUL DE GOIÁS","RUA COSTA GOMES ,208",NA,"CENTRO","75901050.000000","RIO VERDE","GO","64.000000","36235005.000000","Crédito Mútuo","Singular","SULGO.CORREIO@UNICREDSYS.COM.BR",NA,"2007","10","cooperativas"
"3055269.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE DE SANTA BÁRBARA D'OESTE, AMERICANA E NOVA ODESSA","AV BRASIL, 475",NA,"VILA FREZZARIM","13465240.000000","AMERICANA","SP","19.000000","34713141.000000","Crédito Mútuo","Singular","COOPERATIVA@UNICRED-SBOAMR.COM.BR","WWW.UNICRED-SBOAMR.COM.BR","2007","10","cooperativas"
"3056109.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS CONTABILISTAS,  ADMINISTRADORES E ECONOMISTAS DE MACEIÓ/AL, CONTCRED MACEIÓ","RUA RIVADÁVIA CARNAÚBA, 890","EMP. BELO HORIZONTE, SALA 11","PINHEIRO","57057260.000000","MACEIO","AL","82.000000","33383269.000000","Crédito Mútuo","Singular","CONTCRED@VELOXMAIL.COM.BR","WWW.CONTCRED.COM.BR","2007","10","cooperativas"
"3058603.000000","COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA SOCIEDADE ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL","PRACA OIAPOQUE, 333",NA,"ALPHAVILLE","6454060.000000","BARUERI","SP","11.000000","41955400.000000","Crédito Mútuo","Singular","ABM@SACIE.COM.BR",NA,"2007","10","cooperativas"
"3065046.000000","COOPERATIVA DE CREDITO MUTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DA REGIAO NOROESTE DO ESTADO DE SÃO PAULO","AVENIDA BADY BASSITT, 3567",NA,"CENTRO","15015700.000000","SAO JOSE DO RIO PRETO","SP","17.000000","32143797.000000","Crédito Mútuo","Singular","OMAR_ISMAEL@SICREDI.COM.BR",NA,"2007","10","cooperativas"
"3066193.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE AMPERE - CRESOL AMPERE","RUA MARINGA, 240","CENTRO","CENTRO","85640000.000000","AMPERE","PR","46.000000","35472027.000000","Crédito Rural","Singular","AMPERE@CRESOL.COM.BR",NA,"2007","10","cooperativas"
"3071386.000000","COOPERATIVA DE CRÉDITO RURAL BARRA DO CHOÇA LTDA. - CREDIBARRA","AV. GETULIO VARGAS, 359",NA,"CENTRO","45120000.000000","BARRA DO CHOCA","BA","77.000000","34361405.000000","Crédito Rural","Singular","CREBARRA@CLUBENET.COM.BR",NA,"2007","10","cooperativas"
"3079626.000000","COOPERATIVA DE CRÉDITO RURAL DO RECÔNCAVO SUL LTDA","RUA RUI BARBOSA, 13","TÉRREO","CENTRO","44400000.000000","NAZARE","BA","75.000000","36361936.000000","Crédito Rural","Singular","COCRESUL@IITS.COM.BR",NA,"2007","10","cooperativas"
"3082697.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DA SAÚDE DO VALE DO RIBEIRA - SICREDI VALE DO RIBEIRA","PRAÇA DOS EXPEDICIONÁRIOS, 19",NA,"CENTRO","11900000.000000","REGISTRO","SP","13.000000","38215530.000000","Crédito Mútuo","Singular","JACYDEFARIADR@TERRA.COM.BR",NA,"2007","10","cooperativas"
"3086930.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  COMERCIANTES DE CONFECÇÕES DO VESTUÁRIO DE SETE LAGOAS LTDA.","RUA DR AVELAR, 31",NA,"CENTRO","35700008.000000","SETE LAGOAS","MG","31.000000","37744545.000000","Crédito Mútuo","Singular","CREDILOJA@VELOXMAIL.COM.BR",NA,"2007","10","cooperativas"
"3087263.000000","COOPERATIVA DE CRÉDITO RURAL COSTA DO DENDÊ","PRAÇA DO MERCADO MUNICIPAL Nº 1","ANDAR TERREO DO PRÉDIO DA CAMARA M. DE VEREADORES","CENTRO","45430000.000000","TAPEROA","BA","75.000000","36641220.000000","Crédito Rural","Singular","SICOOBTAP@SICOOBCOSTADODENDE.COM.BR","WWW.SICOOBCOSTADODENDE.COM.BR","2007","10","cooperativas"
"3102185.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS E SERVIDORES DA UNIÃO NA PARAÍBA - FEDERALCRED","RUA DUQUE DE CAXIAS 203","TÉRREO","CENTRO","58010820.000000","JOAO PESSOA","PB","83.000000","32221485.000000","Crédito Mútuo","Singular","PB@FEDERALCRED.COM.BR","WWW.FEDERALCRED.COM.BR","2007","10","cooperativas"
"3112504.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DE ASSIS E REGIÃO - SICREDI DE ASSIS","AVENIDA RUI BARBOSA","496","CENTRO","19814000.000000","ASSIS","SP","18.000000","33243233.000000","Crédito Mútuo","Singular","SICREDIASSIS@FEMANET.COM.BR",NA,"2007","10","cooperativas"
"3128973.000000","UNICRED PIAUI - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  PROFISSIONAIS DA SAÚDE DAS REGIÕES CENTRO E NORTE PIAUÍ LTDA","RUA DES. PIRES DE CASTRO, 458","CENTRO-SUL, 1º ANDAR","CENTRO","64001390.000000","TERESINA","PI","86.000000","30897000.000000","Crédito Mútuo","Singular","UNICRED-PI@VELOXMAIL.COM.BR",NA,"2007","10","cooperativas"
"3139644.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CREDIPAULISTA","RUA BARÃO DE ITAPETININGA, 93, 10º ANDAR","CONJUNTO 1006","RÉPÚBLICA","1042001.000000","SAO PAULO","SP","11.000000","32551211.000000","Crédito Mútuo","Singular","CREDIPAULISTA@UOL.COM.BR",NA,"2007","10","cooperativas"
"3149086.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO NOROESTE PAULISTA   GRANCRED NOROESTE PAULISTA","RUA PERNAMBUCO, 4059",NA,"PATRIMONIO NOVO","15500006.000000","VOTUPORANGA","SP","17.000000","34223336.000000","Crédito Mútuo","Singular",NA,NA,"2007","10","cooperativas"
"3165497.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA SANEPAR - CREDISANEPAR","RUA MOBRAL, 464",NA,"JARDIM MARIA LUIZA","85819505.000000","CASCAVEL","PR","45.000000","2245264.000000","Crédito Mútuo","Singular","CREDISANEPAR@BRTURBO.COM",NA,"2007","10","cooperativas"
"3172283.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COOPERATIVA CENTRAL DOS PRODUTORES RURAIS MINAS GERAIS LTDA- CREDITAMBE","RUA ITAMBE,40",NA,"FLORESTA","30150150.000000","BELO HORIZONTE","MG","31.000000","32493715.000000","Crédito Mútuo","Singular","CREDITA@TERRA.COM.BR",NA,"2007","10","cooperativas"
"3190530.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PRANCHITA - CRESOL PRANCHITA","RUA RUI BARBOSA, 553","CENTRO","CENTRO","85730000.000000","PRANCHITA","PR","46.000000","35401259.000000","Crédito Rural","Singular","PRANCHITA@CRESOL.COM.BR",NA,"2007","10","cooperativas"
"3212823.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS INTEGRANTES DA BRIGADA MILITAR DO RIO GRANDE DO SUL","TRAV.FRANCISCO DE LEONARDO TRUDA,40 SALA 21",NA,"CENTRO","90010050.000000","PORTO ALEGRE","RS","51.000000","32214033.000000","Crédito Mútuo","Singular","SICMIL@TERRA.COM.BR",NA,"2007","10","cooperativas"
"3219207.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO BANESPA DE BOTUCATU E CIDADES LIMÍTROFES","R JOAO THOMAS DE ALMEIDA, 11",NA,"VILA AUXILIADORA","18601370.000000","BOTUCATU","SP","14.000000","38822700.000000","Crédito Mútuo","Singular","AFABANBTU@LASER.COM.BR",NA,"2007","10","cooperativas"
"3222753.000000","COOPERATIVA DE CRÉDITO RURAL DE ARIQUEMES LTDA.","AV. TANCREDO NEVES, 2077",NA,"SETOR 1","78931740.000000","ARIQUEMES","RO","69.000000","35360640.000000","Crédito Rural","Singular","CREDIARI@ARIQUEMES.COM.BR",NA,"2007","10","cooperativas"
"3232959.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES  ESTADUAIS DO PODER EXECUTIVO DO ESTADO DO ACRE EM RIO BRANCO - SICOOB CBCRED","RUA EMILIO FALCÃO, 200",NA,"MORADA DO SOL","69910730.000000","RIO BRANCO","AC","68.000000","32237913.000000","Crédito Mútuo","Singular","CBCRED@UOL.COM.BR",NA,"2007","10","cooperativas"
"3233248.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO ENSINO SUPERIOR DO DISTRITO FEDERAL","ED.MULTIUSO I - BLOCO B - 1º.ANDAR","CAIXA POSTAL 04528","ASA NORTE","70919970.000000","BRASILIA","DF","61.000000","33072999.000000","Crédito Mútuo","Singular","CREDFUB@UNB.BR",NA,"2007","10","cooperativas"
"3234384.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA ÁREA DE SAÚDE DA REGIÃO DOS CAMPOS GERAIS LTDA.","RUA SANTOS DUMONT, 1138","TÉRREO","CENTRO","84010360.000000","PONTA GROSSA","PR","42.000000","32240552.000000","Crédito Mútuo","Singular","UNICRED@UNICREDCAMPOSGERAIS.COM.BR","WWW.UNICREDCAMPOSGERAIS.COM.BR","2007","10","cooperativas"
"3235367.000000","COOPERATIVA CENTRAL DE CRÉDITO DE SAO PAULO - CENTRAL SICREDI - SP","RUA GENERAL JARDIM","703 - CONJUNTO 52","VILA BUARQUE","1223011.000000","SAO PAULO","SP","11.000000","31241900.000000","Crédito Mútuo","Central","OMAR_ISMAEL@SICREDI.COM.BR",NA,"2007","10","cooperativas"
